 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
70,3,124.333333333,1.154700538,125,123,125,56.166666667,270.166666667,56.164879357,270.164879357,5.656854249,55,269,2,2,2.364633618,1.615353264,45.000041778,1.000000000,2.828427125,373.000000000,125,-0.707106781,-1.499999838,100,373.000000000,55,271,45.000000000,2.000000000,1.463849222,0.683130465,0.857142857
71,5,116.200000000,6.760177512,117,106,125,599.100000000,270.700000000,599.098967298,270.687607573,7.656854249,598,269,2,3,3.144298699,2.024679692,71.565051177,1.000000000,3.605551275,581.000000000,117,-0.342640706,-0.482915887,100,581.000000000,598,272,56.309932474,2.000000000,1.552985744,0.643920914,0.909090909
72,9,114.000000000,4.415880433,113,108,121,81.500000000,271.500000000,81.507797271,271.480506823,9.656854249,80,270,3,3,3.385137501,3.385137501,0.000000000,1.000000000,4.242640687,1026.000000000,113,0.194001417,-1.109467456,100,1026.000000000,80,270,135.000000000,3.000000000,1.000000000,1.000000000,1.000000000
73,3,120.333333333,6.429100507,113,113,125,552.833333333,271.166666667,552.846260388,271.159279778,5.656854249,552,270,2,2,2.364634341,1.615352771,135.000000000,1.000000000,2.828427125,361.000000000,123,-0.630903857,-1.500000000,100,361.000000000,552,270,135.000000000,2.000000000,1.463850116,0.683130048,0.857142857
74,2,124.500000000,0.707106781,124,124,125,60.000000000,272.000000000,59.997991968,272.002008032,5.656854249,59,271,2,2,2.595639808,0.981060269,45.000011141,0.785398163,2.828427125,249.000000000,125,0.000000000,-2.000000000,100,249.000000000,59,273,45.000000000,1.414213562,2.645749593,0.377964719,0.666666667
75,59,93.983050847,26.647437300,123,31,125,475.398305085,279.076271186,475.197745717,279.520018034,32.627416998,471,273,8,12,12.649162511,5.938822675,65.150466021,0.696460497,13.416407865,5545.000000000,105,-0.823338807,-0.540635091,100,5545.000000000,472,285,63.434948823,7.061529501,2.129910793,0.469503232,0.825174825
76,5,112.000000000,11.661903790,98,98,123,583.900000000,273.700000000,583.873214286,273.716071429,9.071067812,582,273,4,2,3.732322288,1.705693462,5.152423234,0.763594939,4.123105626,560.000000000,117,-0.333079924,-1.734794010,100,560.000000000,582,273,165.963756532,2.000000000,2.188155358,0.457005942,0.769230769
77,2,124.000000000,1.414213562,123,123,125,57.000000000,275.500000000,56.995967742,275.500000000,4.242640687,56,275,2,1,2.256758334,1.128379167,0.000000000,1.000000000,2.236067977,248.000000000,125,0.000000000,-2.000000000,100,248.000000000,56,275,153.434948823,1.000000000,2.000000000,0.500000000,1.000000000
78,1384,68.173410405,28.541813671,54,0,125,434.022398844,304.173410405,431.210785145,305.269363659,346.634559673,359,277,148,58,149.687621931,11.772272865,17.374892392,0.144744555,157.889201657,94352.000000000,66,0.131983560,-0.719560601,100,94352.000000000,359,334,20.386154600,16.969887628,12.715269485,0.078645600,0.607550483
79,34,119.823529412,4.549196321,125,109,125,44.000000000,283.029411765,44.011291114,283.035837015,35.698484810,40,278,10,11,10.691083734,4.049182066,44.512109538,0.335265770,14.142135624,4074.000000000,120,-0.681603986,-0.438113450,100,4074.000000000,40,289,45.000000000,6.222587452,2.640306995,0.378743836,0.571428571
80,5,116.800000000,12.008330442,119,96,125,301.700000000,279.500000000,301.714041096,279.500000000,8.485281374,300,278,3,3,3.086144239,2.062832204,145.900704743,0.872664626,3.605551275,584.000000000,119,-1.271133221,-0.050380309,100,584.000000000,301,278,123.690067526,2.684803085,1.496071388,0.668417301,0.714285714
81,1,122.000000000,0.000000000,122,122,122,91.500000000,281.500000000,91.500000000,281.500000000,2.828427125,91,281,1,1,1.128379167,1.128379167,0.000000000,1.000000000,1.414213562,122.000000000,122,NaN,NaN,100,122.000000000,91,281,135.000000000,1.000000000,1.000000000,1.000000000,1.000000000
82,71,113.225352113,7.827054150,108,94,125,23.894366197,294.584507042,23.903781565,294.477484762,51.698484810,20,284,8,21,21.867794312,4.133933509,82.203829379,0.333820177,21.377558326,8039.000000000,113,-0.291404439,-0.723671417,100,8039.000000000,23,305,79.215702132,5.786285769,5.289827295,0.189042089,0.642533937
83,12,121.416666667,3.449857265,123,113,125,91.750000000,287.166666667,91.743651338,287.162319835,15.313708499,90,284,4,6,6.478618404,2.358353832,108.873402694,0.643028702,6.708203932,1457.000000000,123,-1.326301175,1.035753458,100,1457.000000000,90,284,116.565051177,3.397339114,2.747093467,0.364021105,0.685714286
84,3884,56.770082389,31.213732737,58,0,125,429.516992791,339.575695160,423.707401528,342.080335155,770.447834896,324,284,227,101,190.536719371,25.954379860,17.937166677,0.082224759,243.082290593,220495.000000000,53,0.357505396,-0.667356794,100,220495.000000000,325,377,22.239107461,44.556118259,7.341216411,0.136217208,0.459808216
85,8,103.250000000,16.193032011,121,76,121,592.250000000,285.750000000,592.233656174,285.725181598,10.485281374,590,284,4,3,3.797477579,2.682284792,172.981878266,0.914407274,4.472135955,826.000000000,104,-0.368408789,-1.002323868,100,826.000000000,590,285,153.434948823,3.000000000,1.415762260,0.706333279,0.800000000
86,2024,45.047430830,28.050546201,30,0,125,589.625000000,340.635869565,587.963246907,340.484908309,272.551298552,570,284,30,113,100.050548730,25.757348373,91.148234944,0.342392199,113.534135836,91176.000000000,38,1.063260863,0.629930740,100,91176.000000000,589,397,84.440052737,30.000000000,3.884349712,0.257443349,0.862745098
87,1,106.000000000,0.000000000,106,106,106,387.500000000,287.500000000,387.500000000,287.500000000,2.828427125,387,287,1,1,1.128379167,1.128379167,0.000000000,1.000000000,1.414213562,106.000000000,106,NaN,NaN,100,106.000000000,387,287,135.000000000,1.000000000,1.000000000,1.000000000,1.000000000
88,950,56.843157895,32.996146126,54,0,125,261.448421053,311.577894737,262.421353308,310.912159034,217.764501988,219,289,88,45,99.077206792,12.208434277,25.449335871,0.251744097,97.508973946,54001.000000000,53,0.304437545,-0.750792037,100,54001.000000000,219,332,25.513870428,16.122989812,8.115472020,0.123221422,0.789036545
89,3,121.000000000,3.464101615,123,117,123,46.166666667,291.166666667,46.177685950,291.161157025,5.656854249,45,290,2,2,2.364633618,1.615353264,45.000041778,1.000000000,2.828427125,363.000000000,123,-0.707106781,-1.500000000,100,363.000000000,45,292,45.000000000,2.000000000,1.463849222,0.683130465,0.857142857
90,5,122.200000000,2.280350850,123,119,125,40.700000000,294.300000000,40.704582651,294.305237316,8.485281374,39,293,3,3,3.461199844,1.839303713,45.000045244,0.872664626,4.242640687,611.000000000,123,-0.271545418,-1.044378693,100,611.000000000,39,296,45.000000000,2.684803085,1.881798976,0.531406390,0.714285714
91,3,107.666666667,13.576941236,92,92,116,354.833333333,296.166666667,354.856037152,296.140866873,5.656854249,354,295,2,2,2.364634341,1.615352771,135.000000000,1.000000000,2.828427125,323.000000000,115,-0.702793696,-1.500000000,100,323.000000000,354,295,135.000000000,2.000000000,1.463850116,0.683130048,0.857142857
92,28,116.285714286,4.689287578,113,106,125,32.714285714,298.357142857,32.713452088,298.344901720,20.727922061,29,296,8,5,8.837259238,4.034136183,24.828749602,0.818948065,9.433981132,3256.000000000,117,-0.115420342,-0.618456705,100,3256.000000000,29,301,32.005383208,4.920869621,2.190619958,0.456491778,0.875000000
93,1,123.000000000,0.000000000,123,123,123,119.500000000,298.500000000,119.500000000,298.500000000,2.828427125,119,298,1,1,1.128379167,1.128379167,0.000000000,1.000000000,1.414213562,123.000000000,123,NaN,NaN,100,123.000000000,119,298,135.000000000,1.000000000,1.000000000,1.000000000,1.000000000
94,3,119.000000000,2.645751311,116,116,121,63.166666667,301.166666667,63.161064426,301.163865546,5.656854249,62,300,2,2,2.364633618,1.615353264,45.000041778,1.000000000,2.828427125,357.000000000,120,-0.595170064,-1.500000002,100,357.000000000,62,302,45.000000000,2.000000000,1.463849222,0.683130465,0.857142857
95,5,119.400000000,4.929503018,113,113,125,132.700000000,302.100000000,132.697654941,302.109715243,7.656854249,131,301,3,2,3.144298699,2.024679692,18.434948823,1.000000000,3.605551275,597.000000000,120,-0.184243742,-1.431971752,100,597.000000000,131,303,33.690067526,2.000000000,1.552985744,0.643920914,0.909090909
96,4,119.250000000,2.872281323,121,115,121,492.500000000,309.250000000,492.502096436,309.246331237,7.071067812,491,308,3,2,2.733938403,1.862865006,0.000000000,1.000000000,3.162277660,477.000000000,121,-1.065949198,-0.745026018,100,477.000000000,491,309,161.565051177,2.000000000,1.467598776,0.681385142,0.800000000
97,1,121.000000000,0.000000000,121,121,121,487.500000000,309.500000000,487.500000000,309.500000000,2.828427125,487,309,1,1,1.128379167,1.128379167,0.000000000,1.000000000,1.414213562,121.000000000,121,NaN,NaN,100,121.000000000,487,309,135.000000000,1.000000000,1.000000000,1.000000000,1.000000000
98,5,120.800000000,2.863564213,121,117,125,566.300000000,325.900000000,566.299668874,325.892384106,7.071067812,565,325,3,2,3.144298699,2.024679692,18.434948823,1.000000000,3.605551275,604.000000000,121,0.222833294,-0.582837597,100,604.000000000,565,327,33.690067526,2.000000000,1.552985744,0.643920914,0.909090909
99,694,43.172910663,33.619148042,0,0,125,519.141210375,348.188760807,518.448868567,347.873473066,115.982756057,506,327,28,37,35.581411730,24.833984968,109.703627133,0.648309649,37.947331922,29962.000000000,33,0.838895850,-0.309754953,100,29962.000000000,514,328,108.434948823,28.000000000,1.432770930,0.697948276,0.850490196
100,2,122.000000000,1.414213562,121,121,123,555.000000000,329.500000000,554.995901639,329.500000000,4.242640687,554,329,2,1,2.256758334,1.128379167,0.000000000,1.000000000,2.236067977,244.000000000,123,0.000000000,-2.000000000,100,244.000000000,554,329,153.434948823,1.000000000,2.000000000,0.500000000,1.000000000
101,1533,51.838225701,32.117826077,38,0,125,303.204500978,363.488258317,304.489882720,362.582548951,255.178715550,257,332,97,58,97.745230875,19.969017461,30.681424934,0.295844245,112.004464197,79468.000000000,47,0.487669842,-0.620733808,100,79468.000000000,257,390,29.998681540,27.382613312,4.894844279,0.204296591,0.753131909
102,5,119.400000000,5.176871642,113,113,125,202.900000000,338.900000000,202.891959799,338.915410385,9.071067812,201,338,4,2,4.076210287,1.561793253,20.993606248,0.763594939,4.472135955,597.000000000,121,-0.243688257,-1.603141011,100,597.000000000,201,340,26.565051177,2.000000000,2.609955114,0.383148352,0.769230769
103,11,115.636363636,8.102749253,113,99,125,565.409090909,341.863636364,565.418238994,341.879716981,11.071067812,564,340,3,4,4.383661601,3.194962629,74.929307224,1.000000000,5.000000000,1272.000000000,117,-0.789242995,-0.338218186,100,1272.000000000,564,344,53.130102354,3.000000000,1.372054109,0.728834230,0.956521739
104,2,122.500000000,3.535533906,120,120,125,560.000000000,344.500000000,560.010204082,344.500000000,4.242640687,559,344,2,1,2.256758334,1.128379167,0.000000000,1.000000000,2.236067977,245.000000000,125,0.000000000,-2.000000000,100,245.000000000,559,344,153.434948823,1.000000000,2.000000000,0.500000000,1.000000000
105,2,119.500000000,6.363961031,115,115,124,568.000000000,344.500000000,567.981171548,344.500000000,4.242640687,567,344,2,1,2.256758334,1.128379167,0.000000000,1.000000000,2.236067977,239.000000000,124,0.000000000,-2.000000000,100,239.000000000,567,344,153.434948823,1.000000000,2.000000000,0.500000000,1.000000000
106,6,122.333333333,3.011090611,123,117,125,565.666666667,350.833333333,565.670299728,350.837874659,9.071067812,564,350,4,2,4.133586482,1.848137762,12.933178397,0.916313927,4.472135955,734.000000000,123,-0.927342096,-0.332179930,100,734.000000000,564,352,26.565051177,2.000000000,2.236622489,0.447102721,0.857142857
107,1,121.000000000,0.000000000,121,121,121,471.500000000,356.500000000,471.500000000,356.500000000,2.828427125,471,356,1,1,1.128379167,1.128379167,0.000000000,1.000000000,1.414213562,121.000000000,121,NaN,NaN,100,121.000000000,471,356,135.000000000,1.000000000,1.000000000,1.000000000,1.000000000
108,1529,56.495094833,31.111564713,38,0,125,393.617724003,386.532701112,388.366521573,387.873380720,351.847763109,302,357,147,55,128.392946406,15.162696382,20.099913245,0.155205734,155.270731305,86381.000000000,52,0.391388142,-0.700209622,100,86381.000000000,302,412,18.785020513,26.866106629,8.467685639,0.118096023,0.542776003
109,6,115.833333333,7.305249254,104,104,125,555.000000000,359.000000000,555.026618705,358.976258993,9.071067812,553,358,4,2,3.987826087,1.915689677,18.434948823,0.916313927,4.472135955,695.000000000,119,-0.471807611,-0.700549820,100,695.000000000,553,360,26.565051177,2.000000000,2.081666010,0.480384459,0.857142857
110,2028,52.264299803,36.257713299,0,0,125,504.340236686,390.122287968,501.874207487,390.673324402,430.073159853,426,361,134,51,105.629539913,24.445148572,14.090182174,0.137782206,137.767920794,105992.000000000,48,0.362019608,-0.939529511,100,105992.000000000,426,412,13.431028871,38.493725281,4.321083981,0.231423412,0.538860104
111,4,122.000000000,3.829708431,125,117,125,486.000000000,363.000000000,486.004098361,362.987704918,5.656854249,485,362,2,2,2.256758334,2.256758334,0.000000000,1.000000000,2.828427125,488.000000000,125,-0.493382200,-1.371900826,100,488.000000000,485,362,135.000000000,2.000000000,1.000000000,1.000000000,1.000000000
112,1,123.000000000,0.000000000,123,123,123,477.500000000,367.500000000,477.500000000,367.500000000,2.828427125,477,367,1,1,1.128379167,1.128379167,0.000000000,1.000000000,1.414213562,123.000000000,123,NaN,NaN,100,123.000000000,477,367,135.000000000,1.000000000,1.000000000,1.000000000,1.000000000
113,2,125.000000000,0.000000000,125,125,125,479.000000000,369.500000000,479.000000000,369.500000000,4.242640687,478,369,2,1,2.256758334,1.128379167,0.000000000,1.000000000,2.236067977,250.000000000,125,NaN,NaN,100,250.000000000,478,369,153.434948823,1.000000000,2.000000000,0.500000000,1.000000000
114,1,120.000000000,0.000000000,120,120,120,477.500000000,371.500000000,477.500000000,371.500000000,2.828427125,477,371,1,1,1.128379167,1.128379167,0.000000000,1.000000000,1.414213562,120.000000000,120,NaN,NaN,100,120.000000000,477,371,135.000000000,1.000000000,1.000000000,1.000000000,1.000000000
115,1,125.000000000,0.000000000,125,125,125,205.500000000,375.500000000,205.500000000,375.500000000,2.828427125,205,375,1,1,1.128379167,1.128379167,0.000000000,1.000000000,1.414213562,125.000000000,125,NaN,NaN,100,125.000000000,205,375,135.000000000,1.000000000,1.000000000,1.000000000,1.000000000
116,1,119.000000000,0.000000000,119,119,119,319.500000000,375.500000000,319.500000000,375.500000000,2.828427125,319,375,1,1,1.128379167,1.128379167,0.000000000,1.000000000,1.414213562,119.000000000,119,NaN,NaN,100,119.000000000,319,375,135.000000000,1.000000000,1.000000000,1.000000000,1.000000000
117,6,113.833333333,7.467708261,100,100,121,374.666666667,379.666666667,374.661054173,379.672767204,8.485281374,373,378,3,3,3.140455407,2.432588997,134.999880634,1.000000000,3.605551275,683.000000000,116,-1.123490652,0.087266951,100,683.000000000,374,378,123.690067526,2.828427125,1.290993016,0.774597529,0.800000000
118,1,116.000000000,0.000000000,116,116,116,448.500000000,378.500000000,448.500000000,378.500000000,2.828427125,448,378,1,1,1.128379167,1.128379167,0.000000000,1.000000000,1.414213562,116.000000000,116,NaN,NaN,100,116.000000000,448,378,135.000000000,1.000000000,1.000000000,1.000000000,1.000000000
119,202,79.618811881,28.712128291,77,18,125,293.900990099,386.336633663,293.573307219,386.405055027,77.012193309,277,379,32,13,32.867583506,7.825168771,16.557502333,0.427998502,34.176014981,16083.000000000,81,-0.085303749,-1.183679966,100,16083.000000000,277,392,20.556045220,9.221721615,4.200239569,0.238081658,0.846960168
120,44,83.795454545,32.437832883,123,20,125,455.863636364,384.136363636,455.490235964,384.235828587,34.627416998,450,380,12,9,12.993284520,4.311653446,27.878787771,0.461128906,14.212670404,3687.000000000,90,-0.307940141,-1.190222087,100,3687.000000000,451,389,39.289406863,6.262001796,3.013527104,0.331837069,0.682170543
121,1,123.000000000,0.000000000,123,123,123,447.500000000,383.500000000,447.500000000,383.500000000,2.828427125,447,383,1,1,1.128379167,1.128379167,0.000000000,1.000000000,1.414213562,123.000000000,123,NaN,NaN,100,123.000000000,447,383,135.000000000,1.000000000,1.000000000,1.000000000,1.000000000
122,66,116.136363636,6.795669127,123,100,125,567.803030303,391.681818182,567.766275277,391.668819309,53.355339059,561,384,13,13,11.161435026,7.528943165,34.492412876,0.291338602,16.401219467,7665.000000000,117,-0.468346171,-0.834916993,100,7665.000000000,561,397,52.431407971,11.214957828,1.482470352,0.674549746,0.554621849
123,1,125.000000000,0.000000000,125,125,125,368.500000000,388.500000000,368.500000000,388.500000000,2.828427125,368,388,1,1,1.128379167,1.128379167,0.000000000,1.000000000,1.414213562,125.000000000,125,NaN,NaN,100,125.000000000,368,388,135.000000000,1.000000000,1.000000000,1.000000000,1.000000000
124,10,102.800000000,18.760478553,81,79,125,250.300000000,390.800000000,250.334630350,390.757782101,11.899494937,248,389,5,3,4.874913636,2.611819695,6.842009876,0.887468214,5.385164807,1028.000000000,104,-0.055402140,-1.586799965,100,1028.000000000,248,392,21.801409486,3.000000000,1.866481689,0.535767378,0.800000000
125,15,97.133333333,13.809244661,72,72,120,234.566666667,394.233333333,234.607755662,394.249485244,13.313708499,232,392,5,4,5.235490945,3.647908739,27.548752192,1.000000000,5.830951895,1457.000000000,97,-0.107587358,-0.737357007,100,1457.000000000,232,396,30.963756532,4.000000000,1.435203378,0.696765361,0.882352941
126,2,116.500000000,4.949747468,113,113,120,333.000000000,393.500000000,332.984978541,393.500000000,4.242640687,332,393,2,1,2.256758334,1.128379167,0.000000000,1.000000000,2.236067977,233.000000000,120,0.000000000,-2.000000000,100,233.000000000,332,393,153.434948823,1.000000000,2.000000000,0.500000000,1.000000000
127,427,49.875878220,31.627839610,37,0,125,258.425058548,404.563231850,258.227285533,404.103183547,102.426406871,232,394,41,18,34.776648324,15.633285892,18.346532028,0.511462578,43.011626335,21297.000000000,43,0.662459618,-0.331197147,100,21297.000000000,232,412,17.592424562,18.000000000,2.224525833,0.449534002,0.853146853
128,21,113.761904762,10.573101541,120,90,125,514.261904762,399.642857143,514.274801172,399.676642947,18.142135624,511,397,7,5,6.803779722,3.929878910,160.066778460,0.801774686,7.280109889,2389.000000000,117,-0.742172016,-0.673947258,100,2389.000000000,511,399,164.054604099,4.609556736,1.731295003,0.577602314,0.792452830
129,408,52.784313725,29.832497970,40,0,125,402.916666667,406.198529412,403.586924220,405.506036404,111.012193309,376,399,50,13,44.255635412,11.738205302,9.165281291,0.416033843,51.195702945,21536.000000000,49,0.594142353,-0.172730457,100,21536.000000000,376,412,12.407418527,13.000000000,3.770221620,0.265236397,0.904656319
130,512,62.488281250,37.310406036,125,0,125,555.076171875,408.021484375,553.562511721,406.897293242,209.195959493,512,400,78,12,67.377020351,9.675385517,1.279590965,0.147018924,78.006409993,31994.000000000,56,0.199259086,-1.166112309,100,31994.000000000,512,411,179.265478966,12.000000000,6.963755628,0.143600674,0.707671044
131,2,123.500000000,0.707106781,123,123,124,578.000000000,400.500000000,577.997975709,400.500000000,4.242640687,577,400,2,1,2.256758334,1.128379167,0.000000000,1.000000000,2.236067977,247.000000000,124,0.000000000,-2.000000000,100,247.000000000,577,400,153.434948823,1.000000000,2.000000000,0.500000000,1.000000000
132,5,117.600000000,7.469939759,123,108,123,589.300000000,400.900000000,589.311224490,400.918367347,7.071067812,588,400,3,2,3.144298699,2.024679692,18.434948823,1.000000000,3.605551275,588.000000000,123,-0.469291273,-1.701092612,100,588.000000000,588,402,33.690067526,2.000000000,1.552985744,0.643920914,0.909090909
133,1,125.000000000,0.000000000,125,125,125,511.500000000,402.500000000,511.500000000,402.500000000,2.828427125,511,402,1,1,1.128379167,1.128379167,0.000000000,1.000000000,1.414213562,125.000000000,125,NaN,NaN,100,125.000000000,511,402,135.000000000,1.000000000,1.000000000,1.000000000,1.000000000
134,7,116.285714286,8.035634920,106,106,125,520.214285714,402.928571429,520.186732187,402.925061425,9.656854249,518,402,4,2,4.153591394,2.145776021,171.650377883,0.943271148,4.472135955,814.000000000,116,-0.260294267,-1.395017556,100,814.000000000,518,402,153.434948823,2.000000000,1.935705942,0.516607393,0.933333333
135,1,125.000000000,0.000000000,125,125,125,480.500000000,404.500000000,480.500000000,404.500000000,2.828427125,480,404,1,1,1.128379167,1.128379167,0.000000000,1.000000000,1.414213562,125.000000000,125,NaN,NaN,100,125.000000000,480,404,135.000000000,1.000000000,1.000000000,1.000000000,1.000000000
136,1,123.000000000,0.000000000,123,123,123,489.500000000,407.500000000,489.500000000,407.500000000,2.828427125,489,407,1,1,1.128379167,1.128379167,0.000000000,1.000000000,1.414213562,123.000000000,123,NaN,NaN,100,123.000000000,489,407,135.000000000,1.000000000,1.000000000,1.000000000,1.000000000
137,2,124.000000000,1.414213562,123,123,125,221.000000000,408.500000000,221.004032258,408.500000000,4.242640687,220,408,2,1,2.256758334,1.128379167,0.000000000,1.000000000,2.236067977,248.000000000,125,0.000000000,-2.000000000,100,248.000000000,220,408,153.434948823,1.000000000,2.000000000,0.500000000,1.000000000
138,2,125.000000000,0.000000000,125,125,125,219.000000000,410.500000000,219.000000000,410.500000000,4.242640687,218,410,2,1,2.256758334,1.128379167,0.000000000,1.000000000,2.236067977,250.000000000,125,NaN,NaN,100,250.000000000,218,410,153.434948823,1.000000000,2.000000000,0.500000000,1.000000000
139,15,102.533333333,16.308922478,113,71,125,281.166666667,411.166666667,281.135240572,411.139791938,21.071067812,276,410,10,2,9.330990572,2.046791605,1.060548198,0.424549207,10.049875621,1538.000000000,105,-0.655525909,-0.478160739,100,1538.000000000,276,411,174.289406863,2.000000000,4.558837621,0.219354161,0.857142857
140,1,125.000000000,0.000000000,125,125,125,591.500000000,410.500000000,591.500000000,410.500000000,2.828427125,591,410,1,1,1.128379167,1.128379167,0.000000000,1.000000000,1.414213562,125.000000000,125,NaN,NaN,100,125.000000000,591,410,135.000000000,1.000000000,1.000000000,1.000000000,1.000000000
